object,action,color,location,image
girl,climb,pink,building,1000268201_693b08cb0e.jpg
dog,be,black,street,1001773457_577c3a7d70.jpg
girl,be,white,grass,1002674143_1b742ab4b8.jpg
man,lay,white,bench,1003163366_44323f5815.jpg
man,wear,orange,unknown,1007129816_e794419615.jpg
child,climb,red,playground,1007320043_627395c3d8.jpg
grass,run,white,grass,1009434119_febe49276a.jpg
dog,shake,white,beach,1012212859_01547e3f17.jpg
boy,be,white,street,1015118661_980735411b.jpg
dog,leap,black,unknown,1015584366_dfcec3c85a.jpg
dog,run,brown,snow,101654506_8eb26cfb60.jpg
man,look,blue,snow,101669240_b2d3e7f17b.jpg
rock,climb,red,unknown,1016887272_03199f49c4.jpg
dog,run,brown,grass,1019077836_6fc9b15408.jpg
dog,catch,white,field,1019604187_d087bf9a5f.jpg
dog,catch,white,field,1020651753_06077ec457.jpg
water,be,green,lake,1022454332_6af2c1449a.jpg
couple,sit,unknown,grass,1022454428_b6b660a67b.jpg
dog,run,black,unknown,1022975728_75515238d8.jpg
ice,drill,unknown,snow,102351840_323e3de834.jpg
dog,play,brown,beach,1024138940_f1fefbdce1.jpg
ice,scale,blue,unknown,102455176_5f8ead62d5.jpg
dog,carry,black,grass,1026685415_0431cbf574.jpg
man,be,yellow,unknown,1028205764_7e8df9a2ea.jpg
dog,be,black,unknown,1030985833_b0902ea560.jpg
goal,play,red,street,103106960_e8a41d64f8.jpg
man,sit,black,building,103195344_5d2dc613a3.jpg
ice,be,blue,lake,103205630_682ca7285b.jpg
dog,be,blue,field,1032122270_ea6f0beedb.jpg
man,stand,red,building,1032460886_4a598ed535.jpg
boy,bite,unknown,unknown,1034276567_49bb87c51c.jpg
people,overlook,green,unknown,104136873_5b5d41be75.jpg
boy,look,green,unknown,1042020065_fb3d3ba5ba.jpg
man,pose,blue,unknown,1042590306_95dea0916c.jpg
television,eat,unknown,unknown,1045521051_108ebc19be.jpg
beach,sit,unknown,beach,1048710776_bb5b0a5c7c.jpg
skateboard,be,unknown,unknown,1052358063_eae6744153.jpg
woman,paddle,unknown,unknown,105342180_4d4a40b47f.jpg
girl,play,unknown,beach,1053804096_ad278b25f1.jpg
child,have,unknown,unknown,1055623002_8195a43714.jpg
construction,sit,unknown,building,1055753357_4fa3d8d693.jpg
water,play,yellow,field,1056249424_ef2a2e041c.jpg
woman,be,blue,street,1056338697_4f7d7ce270.jpg
train,look,unknown,unknown,1056359656_662cee0814.jpg
dog,run,brown,beach,1056873310_49c665eb22.jpg
